"filename", "language", "HLSL", "ShaderLab", "C#", "comment", "blank", "total"
"g:\Kepler\Kepler\Assets\Arts\Shaders\AuroraSky.shader", "ShaderLab", 0, 264, 0, 31, 79, 374
"g:\Kepler\Kepler\Assets\Arts\Shaders\Blur.shader", "ShaderLab", 0, 104, 0, 1, 17, 122
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\ACES.hlsl", "HLSL", 512, 0, 0, 621, 177, 1310
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\D3D11.hlsl", "HLSL", 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\D3D12.hlsl", "HLSL", 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\D3D9.hlsl", "HLSL", 30, 0, 0, 1, 13, 44
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\Metal.hlsl", "HLSL", 34, 0, 0, 0, 14, 48
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\OpenGL.hlsl", "HLSL", 42, 0, 0, 2, 14, 58
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\PSP2.hlsl", "HLSL", 34, 0, 0, 2, 13, 49
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\PSSL.hlsl", "HLSL", 42, 0, 0, 0, 14, 56
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\Switch.hlsl", "HLSL", 38, 0, 0, 0, 14, 52
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\Vulkan.hlsl", "HLSL", 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\XboxOne.hlsl", "HLSL", 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\Colors.hlsl", "HLSL", 440, 0, 0, 124, 87, 651
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\DepthOfField.hlsl", "HLSL", 171, 0, 0, 43, 63, 277
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\DepthOfField.shader", "ShaderLab", 0, 219, 0, 5, 42, 266
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\DiskKernels.hlsl", "HLSL", 180, 0, 0, 8, 17, 205
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\Sampling.hlsl", "HLSL", 62, 0, 0, 12, 18, 92
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\ShaderIds.cs", "C#", 0, 0, 137, 3, 22, 162
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\StdLib.hlsl", "HLSL", 234, 0, 0, 33, 56, 323
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\TextureFormatUtilities.cs", "C#", 0, 0, 141, 13, 21, 175
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\xRLib.hlsl", "HLSL", 79, 0, 0, 1, 19, 99
"g:\Kepler\Kepler\Assets\Arts\Shaders\Mix.shader", "ShaderLab", 0, 51, 0, 1, 11, 63
"g:\Kepler\Kepler\Assets\Arts\Shaders\MixLayers.shader", "ShaderLab", 0, 49, 0, 4, 11, 64
"g:\Kepler\Kepler\Assets\Arts\Shaders\OrbitLine.shader", "ShaderLab", 0, 52, 0, 6, 7, 65
"g:\Kepler\Kepler\Assets\Arts\Shaders\Outline.shader", "ShaderLab", 0, 97, 0, 3, 15, 115
"g:\Kepler\Kepler\Assets\Arts\Shaders\Space.shader", "ShaderLab", 0, 277, 0, 25, 64, 366
"g:\Kepler\Kepler\Assets\Arts\Shaders\UIBlur.shader", "ShaderLab", 0, 112, 0, 4, 23, 139
"g:\Kepler\Kepler\Assets\Arts\Shaders\UIBlurPostEffect.shader", "ShaderLab", 0, 276, 0, 21, 63, 360
"g:\Kepler\Kepler\Assets\Arts\Shaders\UIBlur_Shared.cginc", "HLSL", 106, 0, 0, 1, 18, 125
"g:\Kepler\Kepler\Assets\Arts\Shaders\UiLine.shader", "ShaderLab", 0, 53, 0, 6, 7, 66
"Total", "-", 2160, 1554, 278, 971, 975, 5938
