"filename", "language", "Properties", "Markdown", "ShaderLab", "JSON", "HLSL", "C#", "XML", "comment", "blank", "total"
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\code-comments-settings.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\code-comments.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\contentModel.xml", "XML", 0, 0, 0, 0, 0, 0, 718, 0, 0, 718
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\indexLayout.xml", "XML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\projectSettingsUpdater.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\riderModule.iml", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"g:\Kepler\Kepler\.idea\.idea.Kepler\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 328, 0, 0, 328
"g:\Kepler\Kepler\.idea\.idea.Kepler\riderModule.iml", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"g:\Kepler\Kepler\Assets\Arts\Shaders\AuroraSky.shader", "ShaderLab", 0, 0, 264, 0, 0, 0, 0, 31, 79, 374
"g:\Kepler\Kepler\Assets\Arts\Shaders\Blur.shader", "ShaderLab", 0, 0, 104, 0, 0, 0, 0, 1, 17, 122
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\ACES.hlsl", "HLSL", 0, 0, 0, 0, 512, 0, 0, 621, 177, 1310
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\D3D11.hlsl", "HLSL", 0, 0, 0, 0, 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\D3D12.hlsl", "HLSL", 0, 0, 0, 0, 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\D3D9.hlsl", "HLSL", 0, 0, 0, 0, 30, 0, 0, 1, 13, 44
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\Metal.hlsl", "HLSL", 0, 0, 0, 0, 34, 0, 0, 0, 14, 48
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\OpenGL.hlsl", "HLSL", 0, 0, 0, 0, 42, 0, 0, 2, 14, 58
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\PSP2.hlsl", "HLSL", 0, 0, 0, 0, 34, 0, 0, 2, 13, 49
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\PSSL.hlsl", "HLSL", 0, 0, 0, 0, 42, 0, 0, 0, 14, 56
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\Switch.hlsl", "HLSL", 0, 0, 0, 0, 38, 0, 0, 0, 14, 52
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\Vulkan.hlsl", "HLSL", 0, 0, 0, 0, 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\API\XboxOne.hlsl", "HLSL", 0, 0, 0, 0, 39, 0, 0, 0, 14, 53
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\Colors.hlsl", "HLSL", 0, 0, 0, 0, 440, 0, 0, 124, 87, 651
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\DepthOfField.hlsl", "HLSL", 0, 0, 0, 0, 171, 0, 0, 43, 63, 277
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\DepthOfField.shader", "ShaderLab", 0, 0, 219, 0, 0, 0, 0, 5, 42, 266
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\DiskKernels.hlsl", "HLSL", 0, 0, 0, 0, 180, 0, 0, 8, 17, 205
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\Sampling.hlsl", "HLSL", 0, 0, 0, 0, 62, 0, 0, 12, 18, 92
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\ShaderIds.cs", "C#", 0, 0, 0, 0, 0, 137, 0, 3, 22, 162
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\StdLib.hlsl", "HLSL", 0, 0, 0, 0, 234, 0, 0, 33, 56, 323
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\TextureFormatUtilities.cs", "C#", 0, 0, 0, 0, 0, 141, 0, 13, 21, 175
"g:\Kepler\Kepler\Assets\Arts\Shaders\CustomPostProcessing\xRLib.hlsl", "HLSL", 0, 0, 0, 0, 79, 0, 0, 1, 19, 99
"g:\Kepler\Kepler\Assets\Arts\Shaders\Mix.shader", "ShaderLab", 0, 0, 51, 0, 0, 0, 0, 1, 11, 63
"g:\Kepler\Kepler\Assets\Arts\Shaders\MixLayers.shader", "ShaderLab", 0, 0, 49, 0, 0, 0, 0, 4, 11, 64
